1	1
1	2
2	1
2	2
1	3
3	1
2	3
3	2
1	4
4	1
3	3
2	4
4	2
3	4
4	3
1	5
5	1
2	5
5	2
4	4
3	5
5	3
1	6
6	1
2	6
6	2
4	5
5	4
3	6
6	3
5	5
1	7
7	1
4	6
6	4
2	7
7	2
3	7
7	3
5	6
6	5
1	8
8	1
4	7
7	4
2	8
8	2
6	6
3	8
8	3
5	7
7	5
4	8
8	4
1	9
9	1
2	9
9	2
6	7
7	6
5	8
8	5
3	9
9	3
4	9
9	4
1	10
10	1
6	8
8	6
7	7
2	10
10	2
5	9
9	5
3	10
10	3
4	10
10	4
7	8
8	7
6	9
9	6
1	11
11	1
2	11
11	2
5	10
10	5
3	11
11	3
8	8
7	9
9	7
4	11
11	4
6	10
10	6
1	12
12	1
2	12
12	2
5	11
11	5
8	9
9	8
3	12
12	3
7	10
10	7
6	11
11	6
4	12
12	4
9	9
8	10
10	8
5	12
12	5
1	13
13	1
7	11
11	7
2	13
13	2
6	12
12	6
3	13
13	3
9	10
10	9
8	11
11	8
4	13
13	4
1	14
14	1
2	14
14	2
7	12
12	7
5	13
13	5
3	14
14	3
10	10
9	11
11	9
4	14
14	4
8	12
12	8
6	13
13	6
5	14
14	5
1	15
15	1
2	15
15	2
10	11
11	10
7	13
13	7
9	12
12	9
3	15
15	3
6	14
14	6
4	15
15	4
8	13
13	8
5	15
15	5
11	11
7	14
14	7
1	16
16	1
10	12
12	10
2	16
16	2
3	16
16	3
6	15
15	6
9	13
13	9
8	14
14	8
4	16
16	4
11	12
12	11
7	15
15	7
5	16
16	5
1	17
17	1
9	14
14	9
10	13
13	10
2	17
17	2
3	17
17	3
6	16
16	6
8	15
15	8
12	12
4	17
17	4
10	14
14	10
11	13
13	11
7	16
16	7
5	17
17	5
9	15
15	9
1	18
18	1
2	18
18	2
6	17
17	6
8	16
16	8
3	18
18	3
11	14
14	11
12	13
13	12
4	18
18	4
10	15
15	10
7	17
17	7
9	16
16	9
5	18
18	5
1	19
19	1
12	14
14	12
2	19
19	2
8	17
17	8
6	18
18	6
11	15
15	11
3	19
19	3
13	13
10	16
16	10
4	19
19	4
7	18
18	7
9	17
17	9
5	19
19	5
12	15
15	12
1	20
20	1
13	14
14	13
2	20
20	2
11	16
16	11
8	18
18	8
6	19
19	6
3	20
20	3
10	17
17	10
4	20
20	4
14	14
7	19
19	7
9	18
18	9
12	16
16	12
5	20
20	5
13	15
15	13
1	21
21	1
11	17
17	11
8	19
19	8
2	21
21	2
6	20
20	6
3	21
21	3
10	18
18	10
14	15
15	14
4	21
21	4
9	19
19	9
7	20
20	7
12	17
17	12
13	16
16	13
5	21
21	5
11	18
18	11
1	22
22	1
8	20
20	8
2	22
22	2
6	21
21	6
10	19
19	10
15	15
3	22
22	3
14	16
16	14
4	22
22	4
9	20
20	9
12	18
18	12
13	17
17	13
7	21
21	7
5	22
22	5
11	19
19	11
1	23
23	1
8	21
21	8
15	16
16	15
2	23
23	2
6	22
22	6
10	20
20	10
14	17
17	14
3	23
23	3
13	18
18	13
4	23
23	4
12	19
19	12
9	21
21	9
7	22
22	7
11	20
20	11
5	23
23	5
16	16
15	17
17	15
8	22
22	8
1	24
24	1
14	18
18	14
10	21
21	10
2	24
24	2
6	23
23	6
3	24
24	3
13	19
19	13
12	20
20	12
4	24
24	4
9	22
22	9
7	23
23	7
11	21
21	11
16	17
17	16
5	24
24	5
15	18
18	15
14	19
19	14
8	23
23	8
1	25
25	1
10	22
22	10
6	24
24	6
2	25
25	2
3	25
25	3
13	20
20	13
12	21
21	12
9	23
23	9
4	25
25	4
7	24
24	7
17	17
16	18
18	16
11	22
22	11
15	19
19	15
5	25
25	5
14	20
20	14
8	24
24	8
1	26
26	1
10	23
23	10
6	25
25	6
2	26
26	2
13	21
21	13
3	26
26	3
12	22
22	12
17	18
18	17
9	24
24	9
4	26
26	4
16	19
19	16
7	25
25	7
15	20
20	15
11	23
23	11
5	26
26	5
14	21
